Municipio;Microrregiao;Mesorregiao;Uf_nome;Uf;Regiao
Paraipaba;Baixo Curu;Norte Cearense;Ceará;CE;Nordeste
Parambu;Sertão de Inhamuns;Sertões Cearenses;Ceará;CE;Nordeste
Paramoti;Canindé;Norte Cearense;Ceará;CE;Nordeste
Pedra Branca;Sertão de Senador Pompeu;Sertões Cearenses;Ceará;CE;Nordeste
Penaforte;Brejo Santo;Sul Cearense;Ceará;CE;Nordeste
Pentecoste;Médio Curu;Norte Cearense;Ceará;CE;Nordeste
Pereiro;Serra do Pereiro;Jaguaribe;Ceará;CE;Nordeste
Pindoretama;Cascavel;Norte Cearense;Ceará;CE;Nordeste
Piquet Carneiro;Sertão de Senador Pompeu;Sertões Cearenses;Ceará;CE;Nordeste
Pires Ferreira;Ipu;Noroeste Cearense;Ceará;CE;Nordeste
Poranga;Ipu;Noroeste Cearense;Ceará;CE;Nordeste
Porteiras;Cariri;Sul Cearense;Ceará;CE;Nordeste
Potengi;Chapada do Araripe;Sul Cearense;Ceará;CE;Nordeste
Potiretama;Serra do Pereiro;Jaguaribe;Ceará;CE;Nordeste
Quiterianópolis;Sertão de Cratéus;Sertões Cearenses;Ceará;CE;Nordeste
Quixadá;Sertão de Quixeramobim;Sertões Cearenses;Ceará;CE;Nordeste
Quixelô;Iguatu;Centro-Sul Cearense;Ceará;CE;Nordeste
Quixeramobim;Sertão de Quixeramobim;Sertões Cearenses;Ceará;CE;Nordeste
Quixeré;Baixo Jaguaribe;Jaguaribe;Ceará;CE;Nordeste
Redenção;Baturité;Norte Cearense;Ceará;CE;Nordeste
Reriutaba;Ipu;Noroeste Cearense;Ceará;CE;Nordeste
Russas;Baixo Jaguaribe;Jaguaribe;Ceará;CE;Nordeste
Saboeiro;Sertão de Inhamuns;Sertões Cearenses;Ceará;CE;Nordeste
Salitre;Chapada do Araripe;Sul Cearense;Ceará;CE;Nordeste
Santana do Acaraú;Sobral;Noroeste Cearense;Ceará;CE;Nordeste
Santana do Cariri;Cariri;Sul Cearense;Ceará;CE;Nordeste
Santa Quitéria;Santa Quitéria;Noroeste Cearense;Ceará;CE;Nordeste
São Benedito;Ibiapaba;Noroeste Cearense;Ceará;CE;Nordeste
São Gonçalo do Amarante;Baixo Curu;Norte Cearense;Ceará;CE;Nordeste
São João do Jaguaribe;Baixo Jaguaribe;Jaguaribe;Ceará;CE;Nordeste
São Luís do Curu;Médio Curu;Norte Cearense;Ceará;CE;Nordeste
Senador Pompeu;Sertão de Senador Pompeu;Sertões Cearenses;Ceará;CE;Nordeste
Senador Sá;Sobral;Noroeste Cearense;Ceará;CE;Nordeste
Sobral;Sobral;Noroeste Cearense;Ceará;CE;Nordeste
Solonópole;Sertão de Senador Pompeu;Sertões Cearenses;Ceará;CE;Nordeste
Tabuleiro do Norte;Baixo Jaguaribe;Jaguaribe;Ceará;CE;Nordeste
Tamboril;Sertão de Cratéus;Sertões Cearenses;Ceará;CE;Nordeste
Tarrafas;Várzea Alegre;Centro-Sul Cearense;Ceará;CE;Nordeste
Tauá;Sertão de Inhamuns;Sertões Cearenses;Ceará;CE;Nordeste
Tejuçuoca;Médio Curu;Norte Cearense;Ceará;CE;Nordeste
Tianguá;Ibiapaba;Noroeste Cearense;Ceará;CE;Nordeste
Trairi;Itapipoca;Norte Cearense;Ceará;CE;Nordeste
Tururu;Uruburetama;Norte Cearense;Ceará;CE;Nordeste
Ubajara;Ibiapaba;Noroeste Cearense;Ceará;CE;Nordeste
Umari;Lavras da Mangabeira;Centro-Sul Cearense;Ceará;CE;Nordeste
Umirim;Uruburetama;Norte Cearense;Ceará;CE;Nordeste
Uruburetama;Uruburetama;Norte Cearense;Ceará;CE;Nordeste
Uruoca;Coreaú;Noroeste Cearense;Ceará;CE;Nordeste
Varjota;Ipu;Noroeste Cearense;Ceará;CE;Nordeste
Várzea Alegre;Várzea Alegre;Centro-Sul Cearense;Ceará;CE;Nordeste
Viçosa do Ceará;Ibiapaba;Noroeste Cearense;Ceará;CE;Nordeste
Acari;Seridó Oriental;Central Potiguar;Rio Grande do Norte;RN;Nordeste
Açu;Vale do Açu;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Afonso Bezerra;Angicos;Central Potiguar;Rio Grande do Norte;RN;Nordeste
Água Nova;Serra de São Miguel;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Alexandria;Pau dos Ferros;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Almino Afonso;Umarizal;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Alto do Rodrigues;Vale do Açu;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Angicos;Angicos;Central Potiguar;Rio Grande do Norte;RN;Nordeste
Antônio Martins;Umarizal;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Apodi;Chapada do Apodi;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Areia Branca;Mossoró;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Arês;Litoral Sul;Leste Potiguar;Rio Grande do Norte;RN;Nordeste
Campo Grande;Médio Oeste;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Baía Formosa;Litoral Sul;Leste Potiguar;Rio Grande do Norte;RN;Nordeste
Baraúna;Mossoró;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Barcelona;Borborema Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
Bento Fernandes;Baixa Verde;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
Bodó;Serra de Santana;Central Potiguar;Rio Grande do Norte;RN;Nordeste
Bom Jesus;Agreste Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
Brejinho;Agreste Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
Caiçara do Norte;Macau;Central Potiguar;Rio Grande do Norte;RN;Nordeste
Caiçara do Rio do Vento;Angicos;Central Potiguar;Rio Grande do Norte;RN;Nordeste
Caicó;Seridó Ocidental;Central Potiguar;Rio Grande do Norte;RN;Nordeste
Campo Redondo;Borborema Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
Canguaretama;Litoral Sul;Leste Potiguar;Rio Grande do Norte;RN;Nordeste
Caraúbas;Chapada do Apodi;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Carnaúba dos Dantas;Seridó Oriental;Central Potiguar;Rio Grande do Norte;RN;Nordeste
Carnaubais;Vale do Açu;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Ceará-Mirim;Macaíba;Leste Potiguar;Rio Grande do Norte;RN;Nordeste
Cerro Corá;Serra de Santana;Central Potiguar;Rio Grande do Norte;RN;Nordeste
Coronel Ezequiel;Borborema Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
Coronel João Pessoa;Serra de São Miguel;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Cruzeta;Seridó Oriental;Central Potiguar;Rio Grande do Norte;RN;Nordeste
Currais Novos;Seridó Oriental;Central Potiguar;Rio Grande do Norte;RN;Nordeste
Doutor Severiano;Serra de São Miguel;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Parnamirim;Natal;Leste Potiguar;Rio Grande do Norte;RN;Nordeste
Encanto;Serra de São Miguel;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Equador;Seridó Oriental;Central Potiguar;Rio Grande do Norte;RN;Nordeste
Espírito Santo;Litoral Sul;Leste Potiguar;Rio Grande do Norte;RN;Nordeste
Extremoz;Natal;Leste Potiguar;Rio Grande do Norte;RN;Nordeste
Felipe Guerra;Chapada do Apodi;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Fernando Pedroza;Angicos;Central Potiguar;Rio Grande do Norte;RN;Nordeste
Florânia;Serra de Santana;Central Potiguar;Rio Grande do Norte;RN;Nordeste
Francisco Dantas;Pau dos Ferros;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Frutuoso Gomes;Umarizal;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Galinhos;Macau;Central Potiguar;Rio Grande do Norte;RN;Nordeste
Goianinha;Litoral Sul;Leste Potiguar;Rio Grande do Norte;RN;Nordeste
Governador Dix-Sept Rosado;Chapada do Apodi;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Grossos;Mossoró;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Guamaré;Macau;Central Potiguar;Rio Grande do Norte;RN;Nordeste
Ielmo Marinho;Agreste Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
Ipanguaçu;Vale do Açu;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Ipueira;Seridó Ocidental;Central Potiguar;Rio Grande do Norte;RN;Nordeste
Itajá;Vale do Açu;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Itaú;Pau dos Ferros;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Jaçanã;Borborema Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
Jandaíra;Baixa Verde;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
Janduís;Médio Oeste;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Januário Cicco;Agreste Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
Japi;Borborema Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
Jardim de Angicos;Angicos;Central Potiguar;Rio Grande do Norte;RN;Nordeste
Jardim de Piranhas;Seridó Ocidental;Central Potiguar;Rio Grande do Norte;RN;Nordeste
Jardim do Seridó;Seridó Oriental;Central Potiguar;Rio Grande do Norte;RN;Nordeste
João Câmara;Baixa Verde;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
João Dias;Umarizal;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
José da Penha;Pau dos Ferros;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Jucurutu;Vale do Açu;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Jundiá;Agreste Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
Lagoa d'Anta;Agreste Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
Lagoa de Pedras;Agreste Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
Lagoa de Velhos;Borborema Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
Lagoa Nova;Serra de Santana;Central Potiguar;Rio Grande do Norte;RN;Nordeste
Lagoa Salgada;Agreste Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
Lajes;Angicos;Central Potiguar;Rio Grande do Norte;RN;Nordeste
Lajes Pintadas;Borborema Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
Lucrécia;Umarizal;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Luís Gomes;Serra de São Miguel;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Macaíba;Macaíba;Leste Potiguar;Rio Grande do Norte;RN;Nordeste
Macau;Macau;Central Potiguar;Rio Grande do Norte;RN;Nordeste
Major Sales;Serra de São Miguel;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Marcelino Vieira;Pau dos Ferros;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Martins;Umarizal;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Maxaranguape;Litoral Nordeste;Leste Potiguar;Rio Grande do Norte;RN;Nordeste
Messias Targino;Médio Oeste;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Montanhas;Litoral Sul;Leste Potiguar;Rio Grande do Norte;RN;Nordeste
Monte Alegre;Agreste Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
Monte das Gameleiras;Borborema Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
Mossoró;Mossoró;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Natal;Natal;Leste Potiguar;Rio Grande do Norte;RN;Nordeste
Nísia Floresta;Macaíba;Leste Potiguar;Rio Grande do Norte;RN;Nordeste
Nova Cruz;Agreste Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
Olho d'Água do Borges;Umarizal;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Ouro Branco;Seridó Oriental;Central Potiguar;Rio Grande do Norte;RN;Nordeste
Paraná;Pau dos Ferros;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Paraú;Médio Oeste;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Parazinho;Baixa Verde;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
Parelhas;Seridó Oriental;Central Potiguar;Rio Grande do Norte;RN;Nordeste
Rio do Fogo;Litoral Nordeste;Leste Potiguar;Rio Grande do Norte;RN;Nordeste
Passa e Fica;Agreste Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
Passagem;Agreste Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
Patu;Umarizal;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Santa Maria;Agreste Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
Pau dos Ferros;Pau dos Ferros;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Pedra Grande;Litoral Nordeste;Leste Potiguar;Rio Grande do Norte;RN;Nordeste
Pedra Preta;Angicos;Central Potiguar;Rio Grande do Norte;RN;Nordeste
Pedro Avelino;Angicos;Central Potiguar;Rio Grande do Norte;RN;Nordeste
Pedro Velho;Litoral Sul;Leste Potiguar;Rio Grande do Norte;RN;Nordeste
Pendências;Vale do Açu;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Pilões;Pau dos Ferros;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Poço Branco;Baixa Verde;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
Portalegre;Pau dos Ferros;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Porto do Mangue;Vale do Açu;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Serra Caiada;Agreste Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
Pureza;Litoral Nordeste;Leste Potiguar;Rio Grande do Norte;RN;Nordeste
Rafael Fernandes;Pau dos Ferros;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Rafael Godeiro;Umarizal;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Riacho da Cruz;Pau dos Ferros;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Riacho de Santana;Serra de São Miguel;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Riachuelo;Agreste Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
Rodolfo Fernandes;Pau dos Ferros;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Tibau;Mossoró;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Ruy Barbosa;Borborema Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
Santa Cruz;Borborema Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
Santana do Matos;Serra de Santana;Central Potiguar;Rio Grande do Norte;RN;Nordeste
Santana do Seridó;Seridó Oriental;Central Potiguar;Rio Grande do Norte;RN;Nordeste
Santo Antônio;Agreste Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
São Bento do Norte;Macau;Central Potiguar;Rio Grande do Norte;RN;Nordeste
São Bento do Trairí;Borborema Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
São Fernando;Seridó Ocidental;Central Potiguar;Rio Grande do Norte;RN;Nordeste
São Francisco do Oeste;Pau dos Ferros;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
São Gonçalo do Amarante;Macaíba;Leste Potiguar;Rio Grande do Norte;RN;Nordeste
São João do Sabugi;Seridó Ocidental;Central Potiguar;Rio Grande do Norte;RN;Nordeste
São José de Mipibu;Macaíba;Leste Potiguar;Rio Grande do Norte;RN;Nordeste
São José do Campestre;Borborema Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
São José do Seridó;Seridó Oriental;Central Potiguar;Rio Grande do Norte;RN;Nordeste
São Miguel;Serra de São Miguel;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
São Miguel do Gostoso;Litoral Nordeste;Leste Potiguar;Rio Grande do Norte;RN;Nordeste
São Paulo do Potengi;Agreste Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
São Pedro;Agreste Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
São Rafael;Vale do Açu;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
São Tomé;Borborema Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
São Vicente;Serra de Santana;Central Potiguar;Rio Grande do Norte;RN;Nordeste
Senador Elói de Souza;Agreste Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
Senador Georgino Avelino;Litoral Sul;Leste Potiguar;Rio Grande do Norte;RN;Nordeste
Serra de São Bento;Borborema Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
Serra do Mel;Mossoró;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Serra Negra do Norte;Seridó Ocidental;Central Potiguar;Rio Grande do Norte;RN;Nordeste
Serrinha;Agreste Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
Serrinha dos Pintos;Umarizal;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Severiano Melo;Pau dos Ferros;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Sítio Novo;Borborema Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
Taboleiro Grande;Pau dos Ferros;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Taipu;Litoral Nordeste;Leste Potiguar;Rio Grande do Norte;RN;Nordeste
Tangará;Borborema Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
Tenente Ananias;Pau dos Ferros;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Tenente Laurentino Cruz;Serra de Santana;Central Potiguar;Rio Grande do Norte;RN;Nordeste
Tibau do Sul;Litoral Sul;Leste Potiguar;Rio Grande do Norte;RN;Nordeste
Timbaúba dos Batistas;Seridó Ocidental;Central Potiguar;Rio Grande do Norte;RN;Nordeste
Touros;Litoral Nordeste;Leste Potiguar;Rio Grande do Norte;RN;Nordeste
Triunfo Potiguar;Médio Oeste;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Umarizal;Umarizal;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Upanema;Médio Oeste;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Várzea;Agreste Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
Venha-Ver;Serra de São Miguel;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Vera Cruz;Agreste Potiguar;Agreste Potiguar;Rio Grande do Norte;RN;Nordeste
Viçosa;Pau dos Ferros;Oeste Potiguar;Rio Grande do Norte;RN;Nordeste
Vila Flor;Litoral Sul;Leste Potiguar;Rio Grande do Norte;RN;Nordeste
Água Branca;Serra do Teixeira;Sertão Paraibano;Paraíba;PB;Nordeste
Aguiar;Piancó;Sertão Paraibano;Paraíba;PB;Nordeste
Alagoa Grande;Brejo Paraibano;Agreste Paraibano;Paraíba;PB;Nordeste
Alagoa Nova;Brejo Paraibano;Agreste Paraibano;Paraíba;PB;Nordeste
Alagoinha;Guarabira;Agreste Paraibano;Paraíba;PB;Nordeste
Alcantil;Cariri Oriental;Borborema;Paraíba;PB;Nordeste
Algodão de Jandaíra;Curimataú Ocidental;Agreste Paraibano;Paraíba;PB;Nordeste
Alhandra;Litoral Sul;Mata Paraibana;Paraíba;PB;Nordeste
São João do Rio do Peixe;Cajazeiras;Sertão Paraibano;Paraíba;PB;Nordeste
Amparo;Cariri Ocidental;Borborema;Paraíba;PB;Nordeste
Aparecida;Sousa;Sertão Paraibano;Paraíba;PB;Nordeste
Araçagi;Guarabira;Agreste Paraibano;Paraíba;PB;Nordeste
Arara;Curimataú Ocidental;Agreste Paraibano;Paraíba;PB;Nordeste
Araruna;Curimataú Oriental;Agreste Paraibano;Paraíba;PB;Nordeste
Areia;Brejo Paraibano;Agreste Paraibano;Paraíba;PB;Nordeste
Areia de Baraúnas;Patos;Sertão Paraibano;Paraíba;PB;Nordeste
Areial;Esperança;Agreste Paraibano;Paraíba;PB;Nordeste
Aroeiras;Umbuzeiro;Agreste Paraibano;Paraíba;PB;Nordeste
Assunção;Cariri Ocidental;Borborema;Paraíba;PB;Nordeste
Baía da Traição;Litoral Norte;Mata Paraibana;Paraíba;PB;Nordeste
Bananeiras;Brejo Paraibano;Agreste Paraibano;Paraíba;PB;Nordeste
Baraúna;Seridó Oriental Paraibano;Borborema;Paraíba;PB;Nordeste
Barra de Santana;Cariri Oriental;Borborema;Paraíba;PB;Nordeste
Barra de Santa Rosa;Curimataú Ocidental;Agreste Paraibano;Paraíba;PB;Nordeste
Barra de São Miguel;Cariri Oriental;Borborema;Paraíba;PB;Nordeste
Bayeux;João Pessoa;Mata Paraibana;Paraíba;PB;Nordeste
Belém;Guarabira;Agreste Paraibano;Paraíba;PB;Nordeste
Belém do Brejo do Cruz;Catolé do Rocha;Sertão Paraibano;Paraíba;PB;Nordeste
Bernardino Batista;Cajazeiras;Sertão Paraibano;Paraíba;PB;Nordeste
Boa Ventura;Itaporanga;Sertão Paraibano;Paraíba;PB;Nordeste
Boa Vista;Campina Grande;Agreste Paraibano;Paraíba;PB;Nordeste
Bom Jesus;Cajazeiras;Sertão Paraibano;Paraíba;PB;Nordeste
Bom Sucesso;Catolé do Rocha;Sertão Paraibano;Paraíba;PB;Nordeste
Bonito de Santa Fé;Cajazeiras;Sertão Paraibano;Paraíba;PB;Nordeste
Boqueirão;Cariri Oriental;Borborema;Paraíba;PB;Nordeste
Igaracy;Piancó;Sertão Paraibano;Paraíba;PB;Nordeste
Borborema;Brejo Paraibano;Agreste Paraibano;Paraíba;PB;Nordeste
Brejo do Cruz;Catolé do Rocha;Sertão Paraibano;Paraíba;PB;Nordeste
Brejo dos Santos;Catolé do Rocha;Sertão Paraibano;Paraíba;PB;Nordeste
Caaporã;Litoral Sul;Mata Paraibana;Paraíba;PB;Nordeste
Cabaceiras;Cariri Oriental;Borborema;Paraíba;PB;Nordeste
Cabedelo;João Pessoa;Mata Paraibana;Paraíba;PB;Nordeste
Cachoeira dos Índios;Cajazeiras;Sertão Paraibano;Paraíba;PB;Nordeste
Cacimba de Areia;Patos;Sertão Paraibano;Paraíba;PB;Nordeste
Cacimba de Dentro;Curimataú Oriental;Agreste Paraibano;Paraíba;PB;Nordeste
Cacimbas;Serra do Teixeira;Sertão Paraibano;Paraíba;PB;Nordeste
Caiçara;Guarabira;Agreste Paraibano;Paraíba;PB;Nordeste
Cajazeiras;Cajazeiras;Sertão Paraibano;Paraíba;PB;Nordeste
Cajazeirinhas;Sousa;Sertão Paraibano;Paraíba;PB;Nordeste
Caldas Brandão;Itabaiana;Agreste Paraibano;Paraíba;PB;Nordeste
Camalaú;Cariri Ocidental;Borborema;Paraíba;PB;Nordeste
Campina Grande;Campina Grande;Agreste Paraibano;Paraíba;PB;Nordeste
Capim;Litoral Norte;Mata Paraibana;Paraíba;PB;Nordeste
Caraúbas;Cariri Oriental;Borborema;Paraíba;PB;Nordeste
Carrapateira;Cajazeiras;Sertão Paraibano;Paraíba;PB;Nordeste
Casserengue;Curimataú Oriental;Agreste Paraibano;Paraíba;PB;Nordeste
Catingueira;Piancó;Sertão Paraibano;Paraíba;PB;Nordeste
Catolé do Rocha;Catolé do Rocha;Sertão Paraibano;Paraíba;PB;Nordeste
Caturité;Cariri Oriental;Borborema;Paraíba;PB;Nordeste
Conceição;Itaporanga;Sertão Paraibano;Paraíba;PB;Nordeste
Condado;Sousa;Sertão Paraibano;Paraíba;PB;Nordeste
Conde;João Pessoa;Mata Paraibana;Paraíba;PB;Nordeste
Congo;Cariri Ocidental;Borborema;Paraíba;PB;Nordeste
Coremas;Piancó;Sertão Paraibano;Paraíba;PB;Nordeste
Coxixola;Cariri Ocidental;Borborema;Paraíba;PB;Nordeste
Cruz do Espírito Santo;Sapé;Mata Paraibana;Paraíba;PB;Nordeste
Cubati;Seridó Oriental Paraibano;Borborema;Paraíba;PB;Nordeste
Cuité;Curimataú Ocidental;Agreste Paraibano;Paraíba;PB;Nordeste
Cuitegi;Guarabira;Agreste Paraibano;Paraíba;PB;Nordeste
Cuité de Mamanguape;Litoral Norte;Mata Paraibana;Paraíba;PB;Nordeste
Curral de Cima;Litoral Norte;Mata Paraibana;Paraíba;PB;Nordeste
Curral Velho;Itaporanga;Sertão Paraibano;Paraíba;PB;Nordeste
Damião;Curimataú Ocidental;Agreste Paraibano;Paraíba;PB;Nordeste
Desterro;Serra do Teixeira;Sertão Paraibano;Paraíba;PB;Nordeste
Vista Serrana;Sousa;Sertão Paraibano;Paraíba;PB;Nordeste
Diamante;Itaporanga;Sertão Paraibano;Paraíba;PB;Nordeste
Dona Inês;Curimataú Oriental;Agreste Paraibano;Paraíba;PB;Nordeste
Duas Estradas;Guarabira;Agreste Paraibano;Paraíba;PB;Nordeste
Emas;Piancó;Sertão Paraibano;Paraíba;PB;Nordeste
Esperança;Esperança;Agreste Paraibano;Paraíba;PB;Nordeste
Fagundes;Campina Grande;Agreste Paraibano;Paraíba;PB;Nordeste
Frei Martinho;Seridó Oriental Paraibano;Borborema;Paraíba;PB;Nordeste
Gado Bravo;Umbuzeiro;Agreste Paraibano;Paraíba;PB;Nordeste
Guarabira;Guarabira;Agreste Paraibano;Paraíba;PB;Nordeste
Gurinhém;Itabaiana;Agreste Paraibano;Paraíba;PB;Nordeste
Gurjão;Cariri Oriental;Borborema;Paraíba;PB;Nordeste
Ibiara;Itaporanga;Sertão Paraibano;Paraíba;PB;Nordeste
Imaculada;Serra do Teixeira;Sertão Paraibano;Paraíba;PB;Nordeste
Ingá;Itabaiana;Agreste Paraibano;Paraíba;PB;Nordeste
Itabaiana;Itabaiana;Agreste Paraibano;Paraíba;PB;Nordeste
Itaporanga;Itaporanga;Sertão Paraibano;Paraíba;PB;Nordeste
Itapororoca;Litoral Norte;Mata Paraibana;Paraíba;PB;Nordeste
Itatuba;Itabaiana;Agreste Paraibano;Paraíba;PB;Nordeste
Jacaraú;Litoral Norte;Mata Paraibana;Paraíba;PB;Nordeste
Jericó;Catolé do Rocha;Sertão Paraibano;Paraíba;PB;Nordeste
João Pessoa;João Pessoa;Mata Paraibana;Paraíba;PB;Nordeste
Juarez Távora;Itabaiana;Agreste Paraibano;Paraíba;PB;Nordeste
Juazeirinho;Seridó Oriental Paraibano;Borborema;Paraíba;PB;Nordeste
Junco do Seridó;Seridó Ocidental Paraibano;Borborema;Paraíba;PB;Nordeste
Juripiranga;Sapé;Mata Paraibana;Paraíba;PB;Nordeste
Juru;Serra do Teixeira;Sertão Paraibano;Paraíba;PB;Nordeste
Lagoa;Catolé do Rocha;Sertão Paraibano;Paraíba;PB;Nordeste
Lagoa de Dentro;Guarabira;Agreste Paraibano;Paraíba;PB;Nordeste
Lagoa Seca;Campina Grande;Agreste Paraibano;Paraíba;PB;Nordeste
Lastro;Sousa;Sertão Paraibano;Paraíba;PB;Nordeste
Livramento;Cariri Ocidental;Borborema;Paraíba;PB;Nordeste
Logradouro;Guarabira;Agreste Paraibano;Paraíba;PB;Nordeste
Lucena;João Pessoa;Mata Paraibana;Paraíba;PB;Nordeste
Mãe d'Água;Patos;Sertão Paraibano;Paraíba;PB;Nordeste
Malta;Sousa;Sertão Paraibano;Paraíba;PB;Nordeste
Mamanguape;Litoral Norte;Mata Paraibana;Paraíba;PB;Nordeste
